dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
dyngen_atac_2_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.24064391164640753
dyngen_atac_2_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9944375693629941
dyngen_atac_2_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.8787988664599953
dyngen_atac_2_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_atac_3_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.27126473230199705
dyngen_atac_3_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.8516075774544112
dyngen_atac_3_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.5621952587022729
dyngen_atac_3_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.17157199226472594
dyngen_atac_3_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9920012957139838
dyngen_atac_3_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.8862023451081095
dyngen_atac_3_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_citeseq_1_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.30461220353030066
dyngen_citeseq_1_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.7118868634564637
dyngen_citeseq_1_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.34330258235620326
dyngen_citeseq_1_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.09142980695293065
dyngen_citeseq_1_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.992204504995031
dyngen_citeseq_1_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.8617177210419057
dyngen_citeseq_1_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_citeseq_2_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.3188314477382954
dyngen_citeseq_2_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.6988717369751387
dyngen_citeseq_2_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.4879437246014672
dyngen_citeseq_2_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.08959993387137324
dyngen_citeseq_2_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9943139095599642
dyngen_citeseq_2_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.7825068587792083
dyngen_citeseq_2_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_citeseq_3_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.23664611463348453
dyngen_citeseq_3_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.48986458212461026
